"features","Compartment","Channel","Measure"
"Cells_Mean_SmallBODIPYObjects_Correlation_Correlation_AGP_DNA","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Correlation_AGP_Mito","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Correlation_BODIPYRNA_DNA","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Correlation_BODIPYRNA_Mito","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Correlation_DNA_Mito","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Costes_AGP_BODIPYRNA","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Costes_AGP_DNA","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Costes_AGP_Mito","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Costes_BODIPYRNA_AGP","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Costes_BODIPYRNA_DNA","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Costes_BODIPYRNA_Mito","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Costes_DNA_AGP","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Costes_DNA_BODIPYRNA","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Costes_DNA_Mito","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Costes_Mito_AGP","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Costes_Mito_BODIPYRNA","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Costes_Mito_DNA","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_K_AGP_BODIPYRNA","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_K_AGP_DNA","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_K_AGP_Mito","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_K_BODIPYRNA_AGP","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_K_BODIPYRNA_DNA","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_K_BODIPYRNA_Mito","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_K_DNA_AGP","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_K_DNA_BODIPYRNA","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_K_DNA_Mito","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_K_Mito_AGP","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_K_Mito_BODIPYRNA","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_K_Mito_DNA","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Manders_AGP_BODIPYRNA","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Manders_AGP_DNA","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Manders_AGP_Mito","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Manders_BODIPYRNA_AGP","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Manders_BODIPYRNA_DNA","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Manders_BODIPYRNA_Mito","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Manders_DNA_AGP","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Manders_DNA_BODIPYRNA","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Manders_DNA_Mito","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Manders_Mito_AGP","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Manders_Mito_BODIPYRNA","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Manders_Mito_DNA","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Overlap_AGP_BODIPYRNA","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Overlap_AGP_DNA","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Overlap_AGP_Mito","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Overlap_BODIPYRNA_DNA","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Overlap_BODIPYRNA_Mito","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_Overlap_DNA_Mito","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_RWC_AGP_BODIPYRNA","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_RWC_AGP_DNA","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_RWC_AGP_Mito","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_RWC_BODIPYRNA_AGP","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_RWC_BODIPYRNA_DNA","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_RWC_BODIPYRNA_Mito","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_RWC_DNA_AGP","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_RWC_DNA_BODIPYRNA","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_RWC_DNA_Mito","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_RWC_Mito_AGP","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_RWC_Mito_BODIPYRNA","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Correlation_RWC_Mito_DNA","Cells","BODIPYRNA","Correlation"
"Cells_Mean_SmallBODIPYObjects_Granularity_10_AGP","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_10_BODIPYRNA","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_10_DNA","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_10_Mito","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_11_AGP","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_11_BODIPYRNA","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_11_DNA","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_11_Mito","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_12_AGP","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_12_BODIPYRNA","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_12_DNA","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_12_Mito","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_13_AGP","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_13_BODIPYRNA","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_13_DNA","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_13_Mito","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_14_AGP","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_14_BODIPYRNA","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_14_DNA","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_14_Mito","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_15_AGP","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_15_BODIPYRNA","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_15_DNA","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_15_Mito","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_16_AGP","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_16_BODIPYRNA","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_16_DNA","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_16_Mito","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_1_AGP","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_1_BODIPYRNA","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_1_DNA","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_1_Mito","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_2_AGP","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_2_BODIPYRNA","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_2_DNA","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_2_Mito","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_3_AGP","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_3_BODIPYRNA","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_3_DNA","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_3_Mito","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_4_AGP","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_4_BODIPYRNA","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_4_DNA","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_4_Mito","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_5_AGP","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_5_BODIPYRNA","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_5_DNA","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_5_Mito","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_6_AGP","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_6_BODIPYRNA","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_6_DNA","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_6_Mito","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_7_AGP","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_7_BODIPYRNA","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_7_DNA","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_7_Mito","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_8_AGP","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_8_BODIPYRNA","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_8_DNA","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_8_Mito","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_9_AGP","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_9_BODIPYRNA","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_9_DNA","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Granularity_9_Mito","Cells","BODIPYRNA","Granularity"
"Cells_Mean_SmallBODIPYObjects_Intensity_IntegratedIntensityEdge_BODIPYRNA","Cells","BODIPYRNA","Intensity"
"Cells_Mean_SmallBODIPYObjects_Intensity_IntegratedIntensity_BODIPYRNA","Cells","BODIPYRNA","Intensity"
"Cells_Mean_SmallBODIPYObjects_Intensity_LowerQuartileIntensity_BODIPYRNA","Cells","BODIPYRNA","Intensity"
"Cells_Mean_SmallBODIPYObjects_Intensity_MADIntensity_BODIPYRNA","Cells","BODIPYRNA","Intensity"
"Cells_Mean_SmallBODIPYObjects_Intensity_MassDisplacement_BODIPYRNA","Cells","BODIPYRNA","Intensity"
"Cells_Mean_SmallBODIPYObjects_Intensity_MaxIntensityEdge_BODIPYRNA","Cells","BODIPYRNA","Intensity"
"Cells_Mean_SmallBODIPYObjects_Intensity_MaxIntensity_BODIPYRNA","Cells","BODIPYRNA","Intensity"
"Cells_Mean_SmallBODIPYObjects_Intensity_MeanIntensityEdge_BODIPYRNA","Cells","BODIPYRNA","Intensity"
"Cells_Mean_SmallBODIPYObjects_Intensity_MeanIntensity_BODIPYRNA","Cells","BODIPYRNA","Intensity"
"Cells_Mean_SmallBODIPYObjects_Intensity_MedianIntensity_BODIPYRNA","Cells","BODIPYRNA","Intensity"
"Cells_Mean_SmallBODIPYObjects_Intensity_MinIntensityEdge_BODIPYRNA","Cells","BODIPYRNA","Intensity"
"Cells_Mean_SmallBODIPYObjects_Intensity_MinIntensity_BODIPYRNA","Cells","BODIPYRNA","Intensity"
"Cells_Mean_SmallBODIPYObjects_Intensity_StdIntensityEdge_BODIPYRNA","Cells","BODIPYRNA","Intensity"
"Cells_Mean_SmallBODIPYObjects_Intensity_StdIntensity_BODIPYRNA","Cells","BODIPYRNA","Intensity"
"Cells_Mean_SmallBODIPYObjects_Intensity_UpperQuartileIntensity_BODIPYRNA","Cells","BODIPYRNA","Intensity"
"Cells_Mean_SmallBODIPYObjects_Location_CenterMassIntensity_X_BODIPYRNA","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_SmallBODIPYObjects_Location_CenterMassIntensity_Y_BODIPYRNA","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_SmallBODIPYObjects_Location_CenterMassIntensity_Z_BODIPYRNA","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_SmallBODIPYObjects_Location_Center_X","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_SmallBODIPYObjects_Location_Center_Y","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_SmallBODIPYObjects_Location_Center_Z","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_SmallBODIPYObjects_Location_MaxIntensity_X_BODIPYRNA","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_SmallBODIPYObjects_Location_MaxIntensity_Y_BODIPYRNA","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_SmallBODIPYObjects_Location_MaxIntensity_Z_BODIPYRNA","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_SmallBODIPYObjects_Number_Object_Number","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Neighbors_AngleBetweenNeighbors_10","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_Neighbors_AngleBetweenNeighbors_Adjacent","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_Neighbors_FirstClosestDistance_10","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_Neighbors_FirstClosestDistance_Adjacent","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_Neighbors_FirstClosestObjectNumber_10","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_Neighbors_FirstClosestObjectNumber_Adjacent","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_Neighbors_NumberOfNeighbors_10","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_Neighbors_NumberOfNeighbors_Adjacent","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_Neighbors_PercentTouching_10","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_Neighbors_PercentTouching_Adjacent","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_Neighbors_SecondClosestDistance_10","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_Neighbors_SecondClosestDistance_Adjacent","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_Neighbors_SecondClosestObjectNumber_10","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_Neighbors_SecondClosestObjectNumber_Adjacent","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_Number_Object_Number","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_Parent_Nuclei","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_RadialDistribution_FracAtD_AGP_1of4","Cells","AGP","RadialDistribution"
"Cells_RadialDistribution_FracAtD_AGP_2of4","Cells","AGP","RadialDistribution"
"Cells_RadialDistribution_FracAtD_AGP_3of4","Cells","AGP","RadialDistribution"
"Cells_RadialDistribution_FracAtD_AGP_4of4","Cells","AGP","RadialDistribution"
"Cells_RadialDistribution_FracAtD_BODIPYRNA_1of4","Cells","BODIPYRNA","RadialDistribution"
"Cells_RadialDistribution_FracAtD_BODIPYRNA_2of4","Cells","BODIPYRNA","RadialDistribution"
"Cells_RadialDistribution_FracAtD_BODIPYRNA_3of4","Cells","BODIPYRNA","RadialDistribution"
"Cells_RadialDistribution_FracAtD_BODIPYRNA_4of4","Cells","BODIPYRNA","RadialDistribution"
"Cells_RadialDistribution_FracAtD_DNA_1of4","Cells","DNA","RadialDistribution"
"Cells_RadialDistribution_FracAtD_DNA_2of4","Cells","DNA","RadialDistribution"
"Cells_RadialDistribution_FracAtD_DNA_3of4","Cells","DNA","RadialDistribution"
"Cells_RadialDistribution_FracAtD_DNA_4of4","Cells","DNA","RadialDistribution"
"Cells_RadialDistribution_FracAtD_Mito_1of4","Cells","Mito","RadialDistribution"
"Cells_RadialDistribution_FracAtD_Mito_2of4","Cells","Mito","RadialDistribution"
"Cells_RadialDistribution_FracAtD_Mito_3of4","Cells","Mito","RadialDistribution"
"Cells_RadialDistribution_FracAtD_Mito_4of4","Cells","Mito","RadialDistribution"
"Cells_RadialDistribution_MeanFrac_AGP_1of4","Cells","AGP","RadialDistribution"
"Cells_RadialDistribution_MeanFrac_AGP_2of4","Cells","AGP","RadialDistribution"
"Cells_RadialDistribution_MeanFrac_AGP_3of4","Cells","AGP","RadialDistribution"
"Cells_RadialDistribution_MeanFrac_AGP_4of4","Cells","AGP","RadialDistribution"
"Cells_RadialDistribution_MeanFrac_BODIPYRNA_1of4","Cells","BODIPYRNA","RadialDistribution"
"Cells_RadialDistribution_MeanFrac_BODIPYRNA_2of4","Cells","BODIPYRNA","RadialDistribution"
"Cells_RadialDistribution_MeanFrac_BODIPYRNA_3of4","Cells","BODIPYRNA","RadialDistribution"
"Cells_RadialDistribution_MeanFrac_BODIPYRNA_4of4","Cells","BODIPYRNA","RadialDistribution"
"Cells_RadialDistribution_MeanFrac_DNA_1of4","Cells","DNA","RadialDistribution"
"Cells_RadialDistribution_MeanFrac_DNA_2of4","Cells","DNA","RadialDistribution"
"Cells_RadialDistribution_MeanFrac_DNA_3of4","Cells","DNA","RadialDistribution"
"Cells_RadialDistribution_MeanFrac_DNA_4of4","Cells","DNA","RadialDistribution"
"Cells_RadialDistribution_MeanFrac_Mito_1of4","Cells","Mito","RadialDistribution"
"Cells_RadialDistribution_MeanFrac_Mito_2of4","Cells","Mito","RadialDistribution"
"Cells_RadialDistribution_MeanFrac_Mito_3of4","Cells","Mito","RadialDistribution"
"Cells_RadialDistribution_MeanFrac_Mito_4of4","Cells","Mito","RadialDistribution"
"Cells_RadialDistribution_RadialCV_AGP_1of4","Cells","AGP","RadialDistribution"
"Cells_RadialDistribution_RadialCV_AGP_2of4","Cells","AGP","RadialDistribution"
"Cells_RadialDistribution_RadialCV_AGP_3of4","Cells","AGP","RadialDistribution"
"Cells_RadialDistribution_RadialCV_AGP_4of4","Cells","AGP","RadialDistribution"
"Cells_RadialDistribution_RadialCV_BODIPYRNA_1of4","Cells","BODIPYRNA","RadialDistribution"
"Cells_RadialDistribution_RadialCV_BODIPYRNA_2of4","Cells","BODIPYRNA","RadialDistribution"
"Cells_RadialDistribution_RadialCV_BODIPYRNA_3of4","Cells","BODIPYRNA","RadialDistribution"
"Cells_RadialDistribution_RadialCV_BODIPYRNA_4of4","Cells","BODIPYRNA","RadialDistribution"
"Cells_RadialDistribution_RadialCV_DNA_1of4","Cells","DNA","RadialDistribution"
"Cells_RadialDistribution_RadialCV_DNA_2of4","Cells","DNA","RadialDistribution"
"Cells_RadialDistribution_RadialCV_DNA_3of4","Cells","DNA","RadialDistribution"
"Cells_RadialDistribution_RadialCV_DNA_4of4","Cells","DNA","RadialDistribution"
"Cells_RadialDistribution_RadialCV_Mito_1of4","Cells","Mito","RadialDistribution"
"Cells_RadialDistribution_RadialCV_Mito_2of4","Cells","Mito","RadialDistribution"
"Cells_RadialDistribution_RadialCV_Mito_3of4","Cells","Mito","RadialDistribution"
"Cells_RadialDistribution_RadialCV_Mito_4of4","Cells","Mito","RadialDistribution"
"Cells_Texture_AngularSecondMoment_AGP_10_00_256","Cells","AGP","Texture"
"Cells_Texture_AngularSecondMoment_AGP_10_01_256","Cells","AGP","Texture"
"Cells_Texture_AngularSecondMoment_AGP_10_02_256","Cells","AGP","Texture"
"Cells_Texture_AngularSecondMoment_AGP_10_03_256","Cells","AGP","Texture"
"Cells_Texture_AngularSecondMoment_AGP_20_00_256","Cells","AGP","Texture"
"Cells_Texture_AngularSecondMoment_AGP_20_01_256","Cells","AGP","Texture"
"Cells_Texture_AngularSecondMoment_AGP_20_02_256","Cells","AGP","Texture"
"Cells_Texture_AngularSecondMoment_AGP_20_03_256","Cells","AGP","Texture"
"Cells_Texture_AngularSecondMoment_AGP_5_00_256","Cells","AGP","Texture"
"Cells_Texture_AngularSecondMoment_AGP_5_01_256","Cells","AGP","Texture"
"Cells_Texture_AngularSecondMoment_AGP_5_02_256","Cells","AGP","Texture"
"Cells_Texture_AngularSecondMoment_AGP_5_03_256","Cells","AGP","Texture"
"Cells_Texture_AngularSecondMoment_BODIPYRNA_10_00_256","Cells","BODIPYRNA","Texture"
"Cells_Texture_AngularSecondMoment_BODIPYRNA_10_01_256","Cells","BODIPYRNA","Texture"
"Cells_Texture_AngularSecondMoment_BODIPYRNA_10_02_256","Cells","BODIPYRNA","Texture"
"Cells_Texture_AngularSecondMoment_BODIPYRNA_10_03_256","Cells","BODIPYRNA","Texture"
"Cells_Texture_AngularSecondMoment_BODIPYRNA_20_00_256","Cells","BODIPYRNA","Texture"
"Cells_Texture_AngularSecondMoment_BODIPYRNA_20_01_256","Cells","BODIPYRNA","Texture"
"Cells_Texture_AngularSecondMoment_BODIPYRNA_20_02_256","Cells","BODIPYRNA","Texture"
"Cells_Texture_AngularSecondMoment_BODIPYRNA_20_03_256","Cells","BODIPYRNA","Texture"
"Cells_Texture_AngularSecondMoment_BODIPYRNA_5_00_256","Cells","BODIPYRNA","Texture"
"Cells_Texture_AngularSecondMoment_BODIPYRNA_5_01_256","Cells","BODIPYRNA","Texture"
"Cells_Texture_AngularSecondMoment_BODIPYRNA_5_02_256","Cells","BODIPYRNA","Texture"
"Cells_Texture_AngularSecondMoment_BODIPYRNA_5_03_256","Cells","BODIPYRNA","Texture"
"Cells_Texture_AngularSecondMoment_DNA_10_00_256","Cells","DNA","Texture"
"Cells_Texture_AngularSecondMoment_DNA_10_01_256","Cells","DNA","Texture"
"Cells_Texture_AngularSecondMoment_DNA_10_02_256","Cells","DNA","Texture"
"Cells_Texture_AngularSecondMoment_DNA_10_03_256","Cells","DNA","Texture"
"Cells_Texture_AngularSecondMoment_DNA_20_00_256","Cells","DNA","Texture"
"Cells_Texture_AngularSecondMoment_DNA_20_01_256","Cells","DNA","Texture"
"Cells_Texture_AngularSecondMoment_DNA_20_02_256","Cells","DNA","Texture"
"Cells_Texture_AngularSecondMoment_DNA_20_03_256","Cells","DNA","Texture"
"Cells_Texture_AngularSecondMoment_DNA_5_00_256","Cells","DNA","Texture"
"Cells_Texture_AngularSecondMoment_DNA_5_01_256","Cells","DNA","Texture"
"Cells_Texture_AngularSecondMoment_DNA_5_02_256","Cells","DNA","Texture"
"Cells_Texture_AngularSecondMoment_DNA_5_03_256","Cells","DNA","Texture"
"Cells_Texture_AngularSecondMoment_Mito_10_00_256","Cells","Mito","Texture"
"Cells_Texture_AngularSecondMoment_Mito_10_01_256","Cells","Mito","Texture"
"Cells_Texture_AngularSecondMoment_Mito_10_02_256","Cells","Mito","Texture"
"Cells_Texture_AngularSecondMoment_Mito_10_03_256","Cells","Mito","Texture"
"Cells_Texture_AngularSecondMoment_Mito_20_00_256","Cells","Mito","Texture"
"Cells_Texture_AngularSecondMoment_Mito_20_01_256","Cells","Mito","Texture"
"Cells_Texture_AngularSecondMoment_Mito_20_02_256","Cells","Mito","Texture"
"Cells_Texture_AngularSecondMoment_Mito_20_03_256","Cells","Mito","Texture"
"Cells_Texture_AngularSecondMoment_Mito_5_00_256","Cells","Mito","Texture"
"Cells_Texture_AngularSecondMoment_Mito_5_01_256","Cells","Mito","Texture"
"Cells_Texture_AngularSecondMoment_Mito_5_02_256","Cells","Mito","Texture"
"Cells_Texture_AngularSecondMoment_Mito_5_03_256","Cells","Mito","Texture"
"Cells_Texture_Contrast_AGP_10_00_256","Cells","AGP","Texture"
"Cells_Texture_Contrast_AGP_10_01_256","Cells","AGP","Texture"
"Cells_Texture_Contrast_AGP_10_02_256","Cells","AGP","Texture"
"Cells_Texture_Contrast_AGP_10_03_256","Cells","AGP","Texture"
"Cells_Texture_Contrast_AGP_20_00_256","Cells","AGP","Texture"
