"features","Compartment","Channel","Measure"
"Cells_Correlation_Correlation_DNA_Mito","Cells","Combination","Correlation"
"Cells_Correlation_Costes_AGP_BODIPYRNA","Cells","Combination","Correlation"
"Cells_Correlation_Costes_AGP_DNA","Cells","Combination","Correlation"
"Cells_Correlation_Costes_AGP_Mito","Cells","Combination","Correlation"
"Cells_Correlation_Costes_BODIPYRNA_AGP","Cells","Combination","Correlation"
"Cells_Correlation_Costes_BODIPYRNA_DNA","Cells","Combination","Correlation"
"Cells_Correlation_Costes_BODIPYRNA_Mito","Cells","Combination","Correlation"
"Cells_Correlation_Costes_DNA_AGP","Cells","Combination","Correlation"
"Cells_Correlation_Costes_DNA_BODIPYRNA","Cells","Combination","Correlation"
"Cells_Correlation_Costes_DNA_Mito","Cells","Combination","Correlation"
"Cells_Correlation_Costes_Mito_AGP","Cells","Combination","Correlation"
"Cells_Correlation_Costes_Mito_BODIPYRNA","Cells","Combination","Correlation"
"Cells_Correlation_Costes_Mito_DNA","Cells","Combination","Correlation"
"Cells_Correlation_K_AGP_BODIPYRNA","Cells","Combination","Correlation"
"Cells_Correlation_K_AGP_DNA","Cells","Combination","Correlation"
"Cells_Correlation_K_AGP_Mito","Cells","Combination","Correlation"
"Cells_Correlation_K_BODIPYRNA_AGP","Cells","Combination","Correlation"
"Cells_Correlation_K_BODIPYRNA_DNA","Cells","Combination","Correlation"
"Cells_Correlation_K_BODIPYRNA_Mito","Cells","Combination","Correlation"
"Cells_Correlation_K_DNA_AGP","Cells","Combination","Correlation"
"Cells_Correlation_K_DNA_BODIPYRNA","Cells","Combination","Correlation"
"Cells_Correlation_K_DNA_Mito","Cells","Combination","Correlation"
"Cells_Correlation_K_Mito_AGP","Cells","Combination","Correlation"
"Cells_Correlation_K_Mito_BODIPYRNA","Cells","Combination","Correlation"
"Cells_Correlation_K_Mito_DNA","Cells","Combination","Correlation"
"Cells_Correlation_Manders_AGP_BODIPYRNA","Cells","Combination","Correlation"
"Cells_Correlation_Manders_AGP_DNA","Cells","Combination","Correlation"
"Cells_Correlation_Manders_AGP_Mito","Cells","Combination","Correlation"
"Cells_Correlation_Manders_BODIPYRNA_AGP","Cells","Combination","Correlation"
"Cells_Correlation_Manders_BODIPYRNA_DNA","Cells","Combination","Correlation"
"Cells_Correlation_Manders_BODIPYRNA_Mito","Cells","Combination","Correlation"
"Cells_Correlation_Manders_DNA_AGP","Cells","Combination","Correlation"
"Cells_Correlation_Manders_DNA_BODIPYRNA","Cells","Combination","Correlation"
"Cells_Correlation_Manders_DNA_Mito","Cells","Combination","Correlation"
"Cells_Correlation_Manders_Mito_AGP","Cells","Combination","Correlation"
"Cells_Correlation_Manders_Mito_BODIPYRNA","Cells","Combination","Correlation"
"Cells_Correlation_Manders_Mito_DNA","Cells","Combination","Correlation"
"Cells_Correlation_Overlap_AGP_BODIPYRNA","Cells","Combination","Correlation"
"Cells_Correlation_Overlap_AGP_DNA","Cells","Combination","Correlation"
"Cells_Correlation_Overlap_AGP_Mito","Cells","Combination","Correlation"
"Cells_Correlation_Overlap_BODIPYRNA_DNA","Cells","Combination","Correlation"
"Cells_Correlation_Overlap_BODIPYRNA_Mito","Cells","Combination","Correlation"
"Cells_Correlation_Overlap_DNA_Mito","Cells","Combination","Correlation"
"Cells_Correlation_RWC_AGP_BODIPYRNA","Cells","Combination","Correlation"
"Cells_Correlation_RWC_AGP_DNA","Cells","Combination","Correlation"
"Cells_Correlation_RWC_AGP_Mito","Cells","Combination","Correlation"
"Cells_Correlation_RWC_BODIPYRNA_AGP","Cells","Combination","Correlation"
"Cells_Correlation_RWC_BODIPYRNA_DNA","Cells","Combination","Correlation"
"Cells_Correlation_RWC_BODIPYRNA_Mito","Cells","Combination","Correlation"
"Cells_Correlation_RWC_DNA_AGP","Cells","Combination","Correlation"
"Cells_Correlation_RWC_DNA_BODIPYRNA","Cells","Combination","Correlation"
"Cells_Correlation_RWC_DNA_Mito","Cells","Combination","Correlation"
"Cells_Correlation_RWC_Mito_AGP","Cells","Combination","Correlation"
"Cells_Correlation_RWC_Mito_BODIPYRNA","Cells","Combination","Correlation"
"Cells_Correlation_RWC_Mito_DNA","Cells","Combination","Correlation"
"Cells_Granularity_10_AGP","Cells","AGP","Granularity"
"Cells_Granularity_10_BODIPYRNA","Cells","BODIPYRNA","Granularity"
"Cells_Granularity_10_DNA","Cells","DNA","Granularity"
"Cells_Granularity_10_Mito","Cells","Mito","Granularity"
"Cells_Granularity_11_AGP","Cells","AGP","Granularity"
"Cells_Granularity_11_BODIPYRNA","Cells","BODIPYRNA","Granularity"
"Cells_Granularity_11_DNA","Cells","DNA","Granularity"
"Cells_Granularity_11_Mito","Cells","Mito","Granularity"
"Cells_Granularity_12_AGP","Cells","AGP","Granularity"
"Cells_Granularity_12_BODIPYRNA","Cells","BODIPYRNA","Granularity"
"Cells_Granularity_12_DNA","Cells","DNA","Granularity"
"Cells_Granularity_12_Mito","Cells","Mito","Granularity"
"Cells_Granularity_13_AGP","Cells","AGP","Granularity"
"Cells_Granularity_13_BODIPYRNA","Cells","BODIPYRNA","Granularity"
"Cells_Granularity_13_DNA","Cells","DNA","Granularity"
"Cells_Granularity_13_Mito","Cells","Mito","Granularity"
"Cells_Granularity_14_AGP","Cells","AGP","Granularity"
"Cells_Granularity_14_BODIPYRNA","Cells","BODIPYRNA","Granularity"
"Cells_Granularity_14_DNA","Cells","DNA","Granularity"
"Cells_Granularity_14_Mito","Cells","Mito","Granularity"
"Cells_Granularity_15_AGP","Cells","AGP","Granularity"
"Cells_Granularity_15_BODIPYRNA","Cells","BODIPYRNA","Granularity"
"Cells_Granularity_15_DNA","Cells","DNA","Granularity"
"Cells_Granularity_15_Mito","Cells","Mito","Granularity"
